Tweet_id,tweet_text
349654109860790272,"Females will claim a nigga who they never let hit, don't be hollering my name like we was all dat"
329064384712298497,"I don't even get mad no more wen somebody cross me,,"
315570977339748353,@biglord85 yea boi yu knw it
316022158767841280,OOMF Use That Same Shit When We Stop Talking .
384831045390303232,this not the life I chose. \ud83d\ude15
321456009388388354,"- me &amp; @AinnThatQuetaa_ , convoo lol she got me laughing .."
388833309226438656,"\ud83d\ude02\ud83d\ude02 he \ robbedd \"" the store for my medss"""
302274253515001856,I'm so agrivated
384022173918064640,@BigGucciDezz2U_ @PrettyAssGoldie On My Mama Yall Foreal??  LMAO
413231181170098176,Lol she lowkey just made y night
325727769822646272,That nigga pie on ma!!
310445936415498240,going thru the ugly stage with my hair .. trying to grow it back :-/
358238235266265088,Still caught up in this phase I gotta shake myself out of... For the better..
293857262596915200,@ima_bombshell hmmm okayy! Bit look at this picture im abt to send u!!
386676531008790529,These kids is WILD!!!!!
411141054801653760,@__alimak u uglyyyyyy\ud83d\ude4a
309768275217248257,@_Shy_But_Bold its ALOT  of them !!!
370958988940029952,@Did_iTweet_That too late
325611369460289536,Finna go to BFL
311800000235573248,Goodmorning Lovesss(:
333705113808027651,But don't wanna go to sleep like ima miss something
352345674232238080,@x___112313 ikr
404774411557146624,Lol iforgot Dardar like the cowgirls !!!
397201620993191937,@TheeColdest glad you outta that uniform!
405353015802351616,@hisbhadhabit would u see me in it
339772237508923392,@iamChuckW aight bruh
354910512187850752,@LickMe_Wet kik me thennnn
405555718084116480,If u gone do something play yo cards right dummie ass boy ..
332614435141210112,@BallaBlocknJay_ nigga send me somethin
295273448513617920,I'm hungry!
382211509801086976,I c so much shit b but I jus laugh. Cause sum niggaz will neva learn
287495988329971712,Lil bby make me wanna ohhh
349735760334827520,@LightBrightx__ Lol That Songg Beasty!
310828557532291074,Finna head to Aug wid my fam
345730233430843394,@__Skip280 Inna Cri6
359463332748603392,@Sm00veG Ima have to check it out!
306887488901885953,Pretty brown eyes
335841193189601280,I don't know yet. But something good. @MyImaginaryHer coming over. @Fancy_Tiffany
370915414223884288,I Trust No Bitch &amp; Fear No Nigga!!!!
305228096418750464,#DGBSM
321156431627837440,So we can talk otp
296653634819727360,@theNFLchick Be safe!
335024415353999364,I'm hungry af \ud83d\ude29\ud83d\ude2b\ud83d\ude29
334936431157981185,"@wholeLottaCASH_ Real Nigga , Wassup ?"
374790510621499392,Dre just left \ud83d\ude22
313272242903601153,"\@_TipTooPretty: i gotta get my line back popping\"""""
365866772513030145,@A_For_Allea lmao thts tala in the bacc?
343922677356056576,@I_AM_OWENS Bill Simmons lol
353497929291534337,But .. Might flat iron my hair today
415590577787662336,Meechie \ue106
286230961144877057,Imaa August Babyy:-)  yeaa im winning
305137952344915968,LMAO THAT QUESTION OOMF JUST GOT THEY BE FOOLING
340193609699700736,moneys on the way with CashNet USA
320026192461828096,Smoke session. \u2728\ud83d\udcab\u2728
296486848040144898,@SongBird_007 Sisssssss ! Yall got me lonely Over Here
349696665105596416,"Niggas on my tl talkin bout they hungry, go eat den lol"
297725157643010048,Going to pick up my baby cake
355389086418206720,- 2:1O
288705646596071424,Niggas Cool But Ain't REAL!
390288501927067648,Besides SpongeBob
328965986369814530,im gonna be joseline for holloween this year lmaoaoaoa
359877944153354240,Ayeeeee turn up! #2Chainz #WildNOut
400528257457852416,@_Jherrica lmao yes!
363925170416656384,-     i really dont care !
403505387095068673,@biqdari lhh o do that stupid sht now and where u used to work at ?
403518997511294976,Young niggaz in high school an been above da rim \ud83d\udcaf\ud83d\ude0e
416883832583766016,@Jay_Tha_Joker wyd
371501320836218880,@AngloManxphilic *plays in her hair*
362404236316782592,You Fuckinq With Ah Niqqah Who Dont Give Af
286187155695476736,@WhoIsVARRI_ You must dont have my # nomore ?
345044553012756480,Um Im still up
357003172373471233,This a easy come up
310754289201074177,That gangsta feeling when you rap your favorite song without messing up.&gt;&gt;
297725501433323520,"Good morning Providence, RI!"
363845109818724352,Everybody aint loyal so I only trust my self
366167068128710656,"Sooo, I'm up early. Dk why ..."
297779847365804032,@TeraldWilliams \nYea
324206382385610752,@TTU_BoySpanky30 hell yeah that nigga would be tight
