%
1	swear
%
a-hole	1
anus 	1
arse 	1
arsehole 	1
ASS	1
ass 	1
assbag 	1
assbandit 	1
assbanger 	1
assbite 	1
assclown 	1
asscock 	1
asscracker 	1
asses 	1
assface 	1
assfuck 	1
assfucker 	1
assgoblin 	1
asshat 	1
asshead 	1
asshole	1
asshole 	1
assholes	1
asshopper 	1
assjacker 	1
asslick 	1
asslicker 	1
assmonkey 	1
assmunch 	1
assmuncher 	1
assnigger 	1
asspirate 	1
assshit 	1
assshole 	1
asssucker 	1
asswad 	1
asswipe 	1
axwound 	1
bampot 	1
bastard	1
bastard 	1
bastards	1
beaner 	1
bitch	1
bitch 	1
bitchass 	1
bitches 	1
bitchtits 	1
bitchy 	1
blow job 	1
blowjob 	1
bollocks 	1
bollox 	1
bonehead	1
boner 	1
boo	1
brotherfucker 	1
bullshit	1
bullshit 	1
bumblefuck 	1
bumped-up	1
butt	1
butt plug 	1
buttfucka 	1
buttfucker 	1
buttheads	1
camel toe 	1
carpetmuncher 	1
chesticle 	1
chinc 	1
chink 	1
choad 	1
chode 	1
clit 	1
clitface 	1
clitfuck 	1
clusterfuck 	1
cock 	1
cockass 	1
cockbite 	1
cockburger 	1
cockface 	1
cockfucker 	1
cockhead 	1
cockjockey 	1
cockknoker 	1
cockmaster 	1
cockmongler 	1
cockmongruel 	1
cockmonkey 	1
cockmuncher 	1
cocknose 	1
cocknugget 	1
cockshit 	1
cocksmith 	1
cocksmoke 	1
cocksmoker 	1
cocksniffer 	1
cocksucker	1
cocksucker 	1
cockwaffle 	1
coochie 	1
coochy 	1
coon 	1
cooter 	1
COWARD	1
cowardice	1
cowards	1
cracker 	1
crap	1
crapostan	1
craze	1
craziness	1
crazy	1
creeps	1
cum 	1
cumbubble 	1
cumdumpster 	1
cumguzzler 	1
cumjockey 	1
cumslut 	1
cumtart 	1
cunnie 	1
cunnilingus 	1
cunt	1
cunt 	1
cuntass 	1
cuntface 	1
cunthole 	1
cuntlicker 	1
cuntrag 	1
cunts	1
cuntslut 	1
dago 	1
DAMN	1
damn 	1
DAMNING	1
damnit	1
darn	1
deggo 	1
demon	1
devil	1
dick	1
dick 	1
dickbag 	1
dickbeaters 	1
